name,category,lat,lng,weekly_hours,rating,reviews_count
Kasi Restro & Baar,Restaurant,27.6766991,85.4350799,0.0,0.0,0
Duwal Dai ko chiya pasal,Restaurant,27.673771,85.4228499,0.0,0.0,0
Swiss Tea House,Cafe,27.6623983,85.4227701,0.0,5.0,4
K2 Coffee (Nepali Arabica Coffee Supplier),Coffee store,27.6642212,85.4337559,0.0,5.0,1
Everest Bakery's Coffee Shop,Coffee store,27.6654263,85.4247885,91.0,4.1,7
GK Coffee Cold Store,Coffee store,27.6676471,85.4352535,91.0,4.4,16
Kumar Special Panipuri and Coffee Shop,Coffee shop,27.665906,85.4383846,0.0,5.0,1
Relish MoMo Center,Momo restaurant,27.6722161,85.4241035,84.0,2.5,4
Shriyanka Burger Hub,Restaurant,27.6729162,85.42575,0.0,0.0,0
Durbar Restaurant & Burger Hub,Hamburger restaurant,27.6727348,85.4246806,0.0,0.0,0
Suman cold store,Restaurant,27.6769336,85.42285,0.0,0.0,0
Byasi khaja ghar,Fast food restaurant,27.6753468,85.4269932,0.0,0.0,0
momo center,Fast food restaurant,27.6716806,85.4301006,0.0,0.0,0
Komeda Cafe,Cafe,27.6654822,85.4235039,105.0,4.8,9
ASALfood and beverage,Restaurant,27.6621394,85.4261398,0.0,4.5,8
Yonjan,Restaurant,27.6625467,85.4336946,0.0,5.0,1
S & S Khaja Ghar & Sekuwa Corner,Cafe,27.6641245,85.4240109,105.0,5.0,3
Nasika Sekuwa and Burger Station,Restaurant,27.6632535,85.425985,98.0,5.0,1
Diyo Garden Restaurant,Restaurant,27.6633774,85.4259391,91.0,3.6,5
Aagya wine and dine,Restaurant,27.6630991,85.4240961,0.0,5.0,1
Samir khaja Ghar,Cafe,27.6617848,85.4261976,140.0,0.0,0
