name,lat,lng,category
बाघमारा पाटी भक्तपुर ( bhaghmara pati bkt),27.6772111,85.4671841,Hindu temple
Jyotish kendra,27.6718397,85.3745051,Hindu temple
Kushal Bhairab Temple,27.6746585,85.3659599,Hindu temple
Yadav group,27.6754708,85.3659346,Hindu temple
Ganesh Mandir,27.6743967,85.3723805,Hindu temple
Ganesh temple(sagbari),27.6726445,85.3682327,Hindu temple
Balbinayak mandir,27.669748,85.3650942,Hindu temple
Bramahini Temple 1 Sundal,27.6837188,85.4726453,Hindu temple
बालकुमारी मन्दिर,27.6830516,85.4812815,Hindu temple
Radha Krishna Mandir Jitpur,27.6864664,85.4803595,Hindu temple
सुडाल गणेशस्थान,27.6774516,85.4826272,Hindu temple
Ganesh Temple - Ganeshthan,27.6870053,85.4730199,Hindu temple
Devi Mandir,27.6783729,85.4824768,Hindu temple
Dipjal,27.6837074,85.4711853,Hindu temple
Kaashi Bishwonath Temple,27.6784653,85.4715913,Hindu temple
Om Shanti Mandir,27.6863025,85.4749099,Hindu temple
Jalpadevi mandir जालपादेवी मन्दिर (बागेश्वरी),27.6925878,85.4769812,Hindu temple
Shiva temple,27.7057755,85.4090241,Hindu temple
Nageshowor mandir,27.7057125,85.4096719,Hindu temple
Risheshowr Mahadev Temple ऋषेश्वर महादेव मन्दिर,27.715154,85.4067156,Hindu temple
Duwakot Besi Shiva Mandir,27.7053943,85.4051743,Hindu temple
Inaa:lachhi Ganesh Temple,27.6779849,85.3858084,Hindu temple
Siuchakwo Dyo (इन्द्रायणी) 𑐳𑑂𑐫𑐹𑐔𑐵𑐎𑑂𑐰 𑐡𑑂𑐫𑑅,27.6780012,85.3846851,Hindu temple
Shree Koshi Inaya Temple 𑐱𑑂𑐬𑐷 𑐎𑑂𑐰𑐳𑐶 𑐂𑐣𑐵𑐫𑑂‌ 𑐡𑑂𑐫𑑅,27.6800879,85.3863835,Hindu temple
Haatti Mahaakaal Temple,27.6800756,85.3864858,Hindu temple
Narayan Bhajan Mandal,27.6778473,85.3857925,Hindu temple
Mahadev temple,27.680036,85.3868519,Hindu temple
Sungaa:dyo (Vaishnavi Temple),27.6761541,85.3839786,Hindu temple
𑐐𑐵𑑅 𑐩𑐴𑐵𑐡𑑂𑐫𑑅 Gaa Mahadya,27.6757221,85.3854617,Hindu temple
Digu-Bhaila: dyo दिगु भैरव मन्दिर,27.6792194,85.3857747,Hindu temple
ठिमी भिमसेन मन्दिर,27.6831623,85.3872764,Hindu temple
थिमि लायकु (𑐠𑐶𑐩𑐷 𑐮𑐵𑐫𑐎𑐹)(Thimi Layaku),27.6772604,85.3861368,Hindu temple
Basundhara Temple 𑐰𑐳𑐸𑐣𑑂𑐢𑐬𑐵,27.6804555,85.3832106,Hindu temple
Bishnu Kundal,27.6772548,85.383803,Hindu temple
Nasanani Pukhu नासननि कुण्ड,27.6808519,85.383593,Hindu temple
Narayan temple,27.6799664,85.3860804,Hindu temple
Gopaleshwor Mahadev Temple,27.6807672,85.3815204,Hindu temple
Chode Ganesh Temple 𑐔𑑀𑐜𑐾 𑐐𑐞𑐾𑐡𑑂𑐫𑑅,27.6789898,85.3878381,Hindu temple
Pama Hiti पमा हिटि Dhunge Dhara,27.6770994,85.3812859,Hindu temple
Siddhikali Dyo Chhen सिद्धिकाली द्यो छें (𑐳𑐶𑐡𑑂𑐢𑐶𑐎𑐵𑐮𑐷 𑐡𑑂𑐫𑑅 𑐕𑐾𑑄),27.681203,85.3858927,Hindu temple
Shiwa Tole,27.6775668,85.3867452,Hindu temple
𑐱𑑂𑐬𑐷 𑐰𑐶𑐡𑑂𑐫𑐵 𑐐𑐞𑐾𑐡𑑂𑐫𑑅 Shree Bidyaa Ganesh,27.6817894,85.3865415,Hindu temple
Jaganadyo (जगन्नाथ मन्दिर),27.6792316,85.3857173,Hindu temple
Aakash Vairab,27.6777253,85.384755,Hindu temple
Mahavidya Niraj Guru,27.6805411,85.3856155,Hindu temple
निलबर्ण गणेश,27.679124,85.387711,Hindu temple
Buddha Mandir,27.6802196,85.3869065,Hindu temple
Digu Mandir,27.6820947,85.3866479,Hindu temple
Bishwobinayak Temple,27.6810038,85.3860384,Hindu temple
Krishna Mandir Duipokhari,27.6786016,85.3856015,Hindu temple
Ganchanani Ganesh Temple,27.6787012,85.3854659,Hindu temple
Bishwokarma Temple / बिक्माद्यो,27.6806053,85.3855216,Hindu temple
हाम्व देवता (𑐴𑐵𑐩𑑂𑐰𑑅 𑐡𑑂𑐫𑑅),27.680014,85.3867219,Hindu temple
Siddhikali Dhunge Dhara,27.6800143,85.3845828,Hindu temple
𑐱𑑂𑐬𑐷 𑐬𑐵𑐢𑐵 𑐎𑐺𑐲𑑂𑐞 𑐡𑑂𑐫𑐐𑑅 Radha Krishna Mandir,27.6806506,85.3881935,Hindu temple
Datta Ganesh,27.6770146,85.3855644,Hindu temple
Digu Temple,27.6792501,85.3858563,Hindu temple
Buddha Bihar Marga,27.6830774,85.3810741,Hindu temple
Pratham Ganesh Temple,27.6765037,85.3867449,Hindu temple
Ram temple,27.67662,85.38569,Hindu temple
Shiva temple,27.6786588,85.385624,Hindu temple
Shivanagar Mandir,27.6765252,85.3822681,Hindu temple
Pacho Ganesh,27.6822807,85.38786,Hindu temple
दुवाफल्चा पाटी,27.682091,85.387198,Hindu temple
Thimi ko suryabinayak mandir,27.6800054,85.3882338,Hindu temple
Siddhikali Pukhu,27.6801869,85.3847012,Hindu temple
Phasi Dega: (Taha Dya:),27.677569,85.3857236,Hindu temple
Sangameshwor Pashupati Mahadev,27.670788,85.39428,Hindu temple
Bhairab Nath,27.677267,85.3857424,Hindu temple
Krishna Mandir,27.6768694,85.3865475,Hindu temple
