name,category,lat,lng,place_id
"Nepal Outdoor Expeditions - Trekking, Climbing, Tours and Travels",Tour operator,27.6700201,85.3640178,ChIJ9RErM48b6zkRWnyu2O-lqGk
Sangini Women's SACCOS,Savings bank,27.6749321,85.3756216,ChIJWWT7jhIa6zkRtGKzBb9Z5A4
Thibon SACCOS,Savings bank,27.6838535,85.3879619,ChIJlWQKhmca6zkRaSafjj0w_to
Namaste Tours Services Pvt.ltd,Travel agency,27.6656748,85.4273518,ChIJWfVhtecb6zkR-uESZNkgJFU
Gorkha Saving & Credit Co-Operative Ltd.,Savings bank,27.6759122,85.3979924,ChIJY7nCDn0X6zkRjgtNFHrfIX0
Kumari Saving And credit cooperate limited,Savings bank,27.6738638,85.3853708,ChIJuXm_8m8a6zkRiiOPLopN38I
Yogadan Savings and Credit Cooperatives Limited.,Savings bank,27.6736046,85.4409356,ChIJV5oiSqsF6zkRU99S-0fzuxo
Prism Co-operative,Savings bank,27.675721,85.3854513,ChIJj1a1eW8a6zkRP7RFt7EJu0Y
Surya Shakti Co-operative,Savings bank,27.6660912,85.422936,ChIJWQNTxKYa6zkRdpUpoxjoHtE
Elite Dental,Dental clinic,27.6770498,85.4395433,ChIJbx7QGHIF6zkRG9_hjIL3NWI
Alfa Dental Home,Dental clinic,27.678437,85.4412225,ChIJS1R1SukF6zkRBadfhrxwhv0
B and B dental care center pvt. Ltd,Dental clinic,27.6544387,85.4579416,ChIJBZobKvMP6zkR88JbodmfWxg
Re-Smile Dental Clinic,Dental clinic,27.6782342,85.4387945,ChIJ9ZQwJwAF6zkRBPIIV3SJef8
Nandikeshwor Pharmacy,Pharmacy,27.6613113,85.4383717,ChIJlXqKwf8P6zkRqPC_8deEzU4
Shivam pharmacy,Pharmacy,27.6739675,85.4419033,ChIJfVzMoMYF6zkRISwJCQmdmVg
Kalyan pharmacy,Pharmacy,27.6733355,85.4386213,ChIJdzQyQQAF6zkRXnBQwBPVYQE
Youngster Pharmacy,Pharmacy,27.6539921,85.4600571,ChIJ0YOlHwAP6zkRqmd1qk3pews
Susa Pharmacy,Pharmacy,27.6665923,85.4370096,ChIJy2rRk7gb6zkRyNtxNRVOpKQ
Siddhi Memorial Women and Children Hospital,Hospital,27.6683346,85.4326862,ChIJjQOxAawa6zkR3c8cByBgaK4
Changunarayan Hospital,Hospital,27.707685,85.4401354,ChIJ0_Ea9SoF6zkR5ica-8MF_iE
Khwopa hospital wing 2,Hospital,27.6738875,85.4431094,ChIJr77saQAF6zkRTi87NNSrXTA
