category,name,lat,lon,haversine_km,road_km,base_weight_haversine,decayed_weight_haversine,base_weight_road,decayed_weight_road
health_final,जिवन्त स्वास्थ्य सेवा सदन प्रा. लि.,27.6716289,85.4246572,0.23402178449527083,0.3464723382706799,0.219927,0.174038,,
temples_final,Kutu Bahi कुटु बही (शुक्रवर्ण महाबिहार),27.671741,85.4229682,0.09942425080792397,0.199727896411184,0.668586,0.60531,0.33424,0.273727
temples_final,Gauri Narayan Temple,27.6725821,85.4253507,0.2792876897021185,0.40905656696107534,0.069041,0.052217,,
temples_final,Jaleshwor Mahadev,27.6705474,85.4209522,0.26977226723717185,,0.100759,0.076935,,
temples_final,Pipal rukh with temple architecture,27.6714803,85.4213613,0.16368398243055046,0.1848971192113377,0.454387,0.385779,0.383676,0.318908
temples_final,Inaga Ganedyo Temple,27.6715192,85.4216613,0.14125041039822847,0.17346387457217607,0.529165,0.459459,0.421787,0.354616
temples_final,Jai Shri Ganesh Temple,27.6709821,85.4232972,0.18958434421254194,0.2829457385429229,0.368052,0.304491,0.056848,0.042838
temples_final,Sita Ram Temple,27.6709855,85.42331,0.18975552783616478,0.2823049985164301,0.367482,0.303967,0.058983,0.044476
temples_final,Jay Praani Temple,27.6713042,85.4252005,0.2980290387868777,0.42681240630119543,0.00657,0.004877,,
temples_final,Ganesh temple,27.6714738,85.4246653,0.2426835708057762,0.3716792851360376,0.191055,0.149886,,
other_final,Sahid Smriti Udyan,27.6735852,85.4249554,0.2669473780613823,0.4696520313960718,0.110175,0.084363,,
other_final,Bhajya Pokhari भाज्य पाेखरी,27.6708137,85.4208885,0.2500045480326185,,0.166652,0.129788,,
other_final,District Government Attorney Office,27.6725768,85.4230274,0.05062476163320702,0.2503661877378394,0.831251,0.790216,0.165446,0.128802
other_final,Bhaktapur Population Census office,27.6727904,85.4244015,0.1878497657384699,0.32557041095862915,0.373834,0.309811,,
other_final,जिल्ला पशु सेवा कार्यालय,27.6712581,85.4201998,0.2688841965398027,0.3075764846795279,0.103719,0.079266,,
other_final,Kathmandu Upatyaka Khane Pani Ltd.,27.6724234,85.4230685,0.056027316408499554,0.16125616574228635,0.813242,0.768931,0.462479,0.393604
other_final,Khana Pani Sansthan,27.6725021,85.4230487,0.05272536370674568,0.1701942354514635,0.824249,0.781916,0.432686,0.364971
other_final,"Agriculture and Animal Development Section, Bhaktapur Municipality",27.6711925,85.4202906,0.2653942655399825,0.3282827671731917,0.115352,0.088464,,
other_final,Nepal Electricity Authority Billing Counter,27.6725439,85.4226816,0.016411838470088837,0.03902101914310662,0.945294,0.929906,0.86993,0.836638
other_final,Nepal Telecom Bhaktapur (नेपाल टेलिकम भक्तपुर),27.6723125,85.4225625,0.02572567796635477,0.03621351600250739,0.914248,0.891028,0.879288,0.848016
other_final,Ground Zero Beauty Parlour & Training Center,27.672525,85.425185,0.26293633608231637,0.3841696502994549,0.123546,0.094981,,
other_final,Ittachhen,27.6720418,85.4246034,0.212988276478309,0.3038955175716851,0.290039,0.2344,,
other_final,जिल्ला सरकारी वकिल कार्यलय भक्तपुर,27.6725702,85.4230774,0.055484631133888525,0.2504710545591971,0.815051,0.77106,0.165096,0.128517
other_final,Bhaktapur District Post Office,27.6722742,85.4229832,0.0547662946944464,0.13672315713916214,0.817446,0.773881,0.544256,0.474707
