name,lat,lng,category,subcategory_weight,final_weight,rank,filled_rank
Om Secondary School,27.6657876,85.4036484,High school,1.0,0.3703703704032922,9,9.0
Gundu,27.6412431,85.414341,High school,1.0,0.4444444445185185,3,3.0
St.John's English School,27.6716994,85.4078166,High school,1.0,0.35714285716496597,14,14.0
Rajarshi Gurukul,27.6712333,85.4103412,High school,1.0,0.3703703704032922,9,9.0
Gehendra house sainik school,27.6738563,85.4161071,High school,1.0,0.3703703704032922,9,9.0
Bhaktapur Dance Academy,27.6641126,85.4220125,Dance school,0.8,0.33959676974148173,74,74.0
Dynamic Dance Destination,27.6734266,85.4412374,Dance school,0.8,0.3577049944343303,71,71.0
manisundara library,27.6710207,85.42326,Library,0.7,0.35983841277030854,4,4.0
Central Library-SAMB,27.6710999,85.4172166,Library,0.7,0.3431717460944752,5,5.0
unity reading,27.6697823,85.428685,Library,0.7,0.28888888893518516,6,6.0
Garden of Books (Reading Room in Bhaktapur),27.6648373,85.4194059,Library,0.7,0.5023924847738875,7,7.0
Pragati Pustakalaya,27.6735701,85.4372858,Library,0.7,0.2750000000364583,8,8.0
Digital Library SAMB,27.671363,85.417264,Library,0.7,0.3135421164444341,9,9.0
bmc library,27.6698132,85.4208663,Library,0.7,0.26666666669666667,10,10.0
Kanchan Library (Reading Room),27.6779189,85.3950804,Library,0.7,0.4726869842179009,5,5.0
Asmita's Study Room,27.6734504,85.3759689,Library,0.7,0.4646847629896704,14,14.0
Be Cool Reading Home,27.6755158,85.3926778,Library,0.7,0.34051015876848173,16,16.0
NEC Library,27.7101758,85.4149457,Library,0.7,0.4863434921656171,2,2.0
YOUKOSO JAPANESE LANGUAGE CENTRE,27.6716781,85.4348008,Language school,1.0,0.3822522058169049,58,58.0
Nyatapola Japanese Institute,27.672412,85.4314699,Language school,1.0,0.3384615384665877,65,65.0
Alpha Korean Language School,27.6654709,85.4237743,Language school,1.0,0.5209320340893702,44,44.0
Ashai Japanese Language & Culture Center,27.665965,85.424719,Language school,1.0,0.46994077004526064,47,47.0
Saino Japanese Language School,27.6659563,85.4246072,Language school,1.0,0.3825656854410317,55,55.0
Bhaktapur Japanese Language Institute,27.6650691,85.4254818,Language school,1.0,0.5352900679747977,50,50.0
RC Language & Study Abroad Pvt. Ltd.,27.6662511,85.4264714,Language school,1.0,0.3811999150598551,71,71.0
Kavi Ram Language Instutute,27.669418,85.4276529,Language school,1.0,0.33777777778216295,75,75.0
Awakening Language Instutute,27.666621,85.424781,Language school,1.0,0.3376068376110563,78,78.0
"Language Classes (IELTS, PTE, Japanese and Korean)",27.667468,85.4267195,Language school,1.0,0.4057271858713752,84,84.0
Bal Mandir School,27.6719265,85.4274701,Primary school,0.5,0.5,1,1.0
Shree Basic School श्री आधारभूत विद्यालय,27.6734994,85.4324365,Primary school,0.5,0.18888888890962963,15,15.0
Shree Hansa Bahini Basic School,27.6755938,85.4331948,Primary school,0.5,0.17460317461092215,42,42.0
"Kamalbinayak-10, Bhaktapur",27.6757318,85.4331137,Primary school,0.5,0.17375886525516826,47,47.0
Shree Sarda Primary School,27.6684436,85.4249031,Primary school,0.5,0.2222222222685185,6,6.0
Shanti Niketan School,27.6683452,85.4276836,Primary school,0.5,0.19230769233136094,13,13.0
श्री जनसेवा प्राथमिक विद्यालय,27.6689,85.4263656,Primary school,0.5,0.175000000008125,40,40.0
Dyola Primary School,27.6691694,85.4304783,Primary school,0.5,0.20000000002999999,10,10.0
Shree Dandapati Primary School,27.6600561,85.4596201,Primary school,0.5,0.186274509822376,17,17.0
Deuja Gaun Basic School,27.6571887,85.4628552,Primary school,0.5,0.1851851852026749,18,18.0
Aradhana Gyankunja,27.693614,85.448899,Primary school,0.5,0.5,1,1.0
"""Tranquil"" Ratna Shikshya Sadan English School",27.6954508,85.4495013,Primary school,0.5,0.2777777778518518,3,3.0
Chandeshworee Basic School,27.6685976,85.4338103,Primary school,0.5,0.17543859649976914,38,38.0
KiDSCARE SCHOOL,27.6884826,85.4298079,Primary school,0.5,0.33333333341666666,2,2.0
Phaidhoka School फैढोका स्कुल,27.6697111,85.4649894,Primary school,0.5,0.20000000002999999,10,10.0
Kids Town Montessori School,27.6970151,85.4204217,Primary school,0.5,0.186274509822376,17,17.0
Setidevi Basic School,27.6628717,85.4175995,Primary school,0.5,0.2777777778518518,3,3.0
Shree yapee Bhairab Basic School,27.6986063,85.42053,Primary school,0.5,0.20833333336979165,8,8.0
Mamti National Academy,27.6617003,85.4218031,Primary school,0.5,0.23333333338666665,5,5.0
"Gurukul Bidyamandir, Changunarayan-1, Duwakot",27.7018429,85.4139654,Primary school,0.5,0.2777777778518518,3,3.0
