name,lat,lng,reviews_count,weekly_hours,cafe_individual_score,cafe_weight,banks_count_1km,banks_weight_1km,education_count_1km,education_weight_1km,health_count_1km,health_weight_1km,temples_count_1km,temples_weight_1km,other_count_1km,other_weight_1km,banks_rank,education_rank,health_rank,temples_rank,other_rank
Brothers food cafe,27.678122,85.4070447,0,85.0,0.5,0.5,17,9.443321703625,61,21.414837087399157,47,19.891406938722902,37,15.86877830401072,33,14.047286510351434,1008.0,464.0,559.0,970.0,911.0
Byasi khaja ghar,27.6753468,85.4269932,0,85.0,0.5,0.5,65,31.445596253098525,168,54.514903087049255,173,72.09076886400729,245,101.60951595548536,121,47.2107494624952,7.0,162.0,91.0,171.0,126.0
cake cafe,27.6898954,85.3901125,0,85.0,0.5,0.5,18,8.949710928877257,2,0.8179250794674757,3,1.24614796727813,110,45.53424481844042,32,13.115694169588327,1034.0,989.0,1095.0,782.0,928.0
Camper 01,27.6862685,85.4514109,8,85.0,0.660205619507009,0.660205619507009,1,0.6181113231983475,16,6.562139967308871,9,4.2415766278116305,15,6.187566433779124,24,10.411328717927793,1254.0,642.0,747.0,1291.0,1011.0
Cellsanasar Photo Studio,27.7021453,85.3857197,0,85.0,0.5,0.5,11,5.563421698297306,0,0.0,1,0.3939914982044257,17,7.280149935165487,20,8.270449788270755,1081.0,1261.0,1194.0,1257.0,1147.0
Center Momo & Burger House,27.6659531,85.4345625,15,85.0,0.7021569840726396,0.7021569840726396,64,30.939399801914686,169,53.85318088031856,171,72.01559856359762,252,104.81834411852122,121,47.69093899484204,95.0,179.0,98.0,42.0,109.0
Chadani khaja Ghar susil chock Balkot,27.6671996,85.363031,0,85.0,0.5,0.5,25,12.947439797861305,2,0.8125108499600547,2,0.8001358629030645,30,12.486129430737074,19,7.402660300310898,868.0,996.0,1173.0,1092.0,1166.0
Chaska - Pepsicola,27.6965982,85.3678565,3,85.0,0.6010784920363198,0.6010784920363198,7,3.0919720488479356,0,0.0,1,0.3939914982044257,22,9.39988870262624,14,5.643065775993247,1145.0,1261.0,1194.0,1195.0,1188.0
Chawo khaja Ghar And Tea Point,27.6857468,85.4436662,2,85.0,0.5801028097535045,0.5801028097535045,12,6.227835181739908,43,15.834613216311203,50,21.456001706723963,33,13.777063571189844,33,13.860354583371754,1067.0,524.0,470.0,1048.0,912.0
chhaling,27.7040349,85.4529896,0,85.0,0.5,0.5,0,0.0,3,1.2777777778518518,3,1.7845839098692222,24,9.455987692254851,12,5.498833723207814,1265.0,910.0,1029.0,1193.0,1203.0
Chhitomitho momo,27.6660273,85.4332801,0,85.0,0.5,0.5,64,30.939399801914686,171,54.45405807338013,172,72.11480491279823,255,106.12091031686803,123,48.36724963770199,95.0,167.0,89.0,14.0,72.0
chi’s sweet home,27.6680311,85.4067485,0,85.0,0.5,0.5,19,9.608205198654852,72,26.15755435290484,49,20.536833046929114,29,12.644101369613168,40,16.583232442477613,999.0,431.0,520.0,1089.0,842.0
