lat,lng,cafe_weight,_row_index
27.6677053,85.4255981,8.3035,332
27.671192,85.4207331,6.7903,333
27.6781442,85.3862113,5.1383,334
27.673066,85.3859269,10.2389,335
27.6705657,85.4623427,0.7995,336
27.6887567,85.3795417,2.9966,337
27.6777134,85.399273,11.9202,338
27.672341,85.4266082,11.0632,339
27.6727348,85.4246806,8.6899,340
27.6765194,85.3982044,19.8121,341
27.6792,85.4024919,2.6728,342
27.6816938,85.4103897,4.2891,343
27.7040208,85.4111656,0.7692,344
27.673771,85.4228499,3.5462,345
27.6712216,85.4234705,7.5081,346
27.672089,85.4403049,2.2594,347
27.6722189,85.4240953,9.6481,348
27.6830703,85.3877019,11.3844,349
27.6788165,85.4084699,2.1878,350
27.6829462,85.4532658,1.6504,351
27.6687117,85.3881329,3.4151,352
27.6746626,85.3687775,5.2638,353
27.6678018,85.3865409,5.1823,354
27.7108385,85.4154969,1.6237,355
27.671456,85.4278273,12.4348,356
27.6654263,85.4247885,10.8548,357
27.671336,85.4300794,17.2511,358
27.6643784,85.4261986,7.2175,359
27.6747414,85.3904894,2.095,360
27.6697901,85.385248,5.5238,361
27.652187,85.4036987,0.9025,362
27.6451737,85.4657532,2.2264,363
27.6480052,85.4499348,1.3428,364
27.6750259,85.3978356,15.247,365
27.6733771,85.4036604,4.8265,366
27.6771492,85.436841,5.0296,367
27.6749704,85.4451027,1.9946,368
27.6841318,85.4113261,5.4837,369
27.6773798,85.3832487,3.4039,370
27.6649422,85.3727468,1.8785,371
27.6962531,85.3700869,3.4833,372
27.711675,85.4127074,1.3117,373
27.6700488,85.4101096,6.1662,374
27.6726397,85.4295795,11.9468,375
27.676841,85.3982214,20.9419,376
27.6718627,85.4297751,19.2191,377
27.6741543,85.3734271,17.2886,378
27.6648993,85.3863668,1.7252,379
27.67259,85.38543,9.4631,380
27.6740215,85.3670402,11.3646,381
27.6767411,85.4428571,4.0473,382
27.6766696,85.4427921,4.144,383
27.6763214,85.4428386,3.6195,384
27.6766717,85.4428172,4.0644,385
27.6766755,85.4428196,4.0649,386
27.6603735,85.4485444,1.5607,387
27.710106,85.4153028,2.2228,388
27.694946,85.3727326,4.084,389
27.675584,85.4302642,3.3321,390
27.6711472,85.3828303,4.7937,391
27.6676471,85.4352535,2.6331,392
27.677704,85.3977069,13.5119,393
27.6728291,85.3992731,2.2037,394
27.6830103,85.3884901,9.3115,395
27.6716941,85.3880955,6.2129,396
27.6828042,85.4111515,5.2615,397
27.6846154,85.3964598,1.9688,398
27.6717182,85.438968,4.5141,399
27.6754337,85.4272511,4.0088,400
27.6559513,85.4240494,1.0604,401
27.7142335,85.4188742,0.9617,402
27.6789822,85.4037079,2.1635,403
27.6880753,85.3984314,1.6422,404
27.6851312,85.3950065,1.8169,405
27.6812305,85.397741,3.7378,406
27.7102618,85.4215296,0.3884,407
